Job_Category,Experience_Level,Job_Completed,Earnings_USD,Hourly_Rate,project complexity
3,1.0,93,1539,8.29,2.0
0,1.0,76,2626,70.44,2.0
4,0.0,39,1255,29.35,2.0
2,2.0,260,6765,18.59,2.0
6,0.0,62,1904,25.64,3.0
6,0.0,9,245,18.71,3.0
1,1.0,67,1842,39.06,1.0
2,1.0,111,2725,29.82,1.0
1,0.0,41,1052,18.0,2.0
4,0.0,49,2065,34.46,2.0
7,1.0,74,2912,77.38,5.0
6,2.0,170,6976,62.73,3.0
5,2.0,115,8447,60.06,2.0
2,0.0,68,1997,18.09,3.0
7,1.0,126,3626,47.29,5.0
2,2.0,257,5017,25.95,1.0
0,2.0,147,5902,124.53,3.0
2,0.0,51,558,12.89,3.0
4,2.0,257,7876,63.86,2.0
4,0.0,20,992,29.58,3.0
4,2.0,129,2833,76.49,1.0
2,1.0,143,2497,22.8,2.0
3,0.0,53,1295,11.58,2.0
2,2.0,130,3608,32.33,3.0
5,2.0,210,5665,97.55,2.0
2,0.0,35,1216,10.48,1.0
7,1.0,169,7234,30.42,2.0
5,0.0,26,2688,24.4,1.0
5,0.0,12,2264,33.99,2.0
3,1.0,103,2149,12.9,1.0
6,0.0,51,1325,36.28,1.0
1,2.0,179,4125,48.42,1.0
5,2.0,207,6018,99.88,1.0
4,2.0,247,5265,46.7,1.0
5,0.0,22,2262,42.76,2.0
0,2.0,103,10547,116.27,3.0
1,0.0,36,718,28.95,1.0
4,0.0,39,1733,45.55,3.0
5,2.0,107,4219,67.75,1.0
4,2.0,116,7216,58.2,3.0
4,1.0,92,4544,57.18,2.0
4,0.0,56,2202,48.16,1.0
6,0.0,27,1394,19.41,1.0
7,0.0,51,2487,40.9,3.0
2,0.0,40,1406,16.78,1.0
4,1.0,179,5507,31.78,3.0
7,0.0,67,1210,59.7,4.0
2,1.0,141,4171,20.87,2.0
6,2.0,165,4441,70.66,3.0
0,0.0,57,3754,57.79,3.0
1,1.0,133,3924,21.47,3.0
7,2.0,124,12991,51.51,3.0
4,2.0,260,4189,54.78,3.0
7,0.0,64,3367,44.9,3.0
2,0.0,28,1007,8.58,2.0
0,0.0,63,2062,63.22,4.0
0,2.0,266,10536,134.05,2.0
6,2.0,111,2514,86.79,2.0
6,0.0,41,777,27.05,1.0
6,2.0,189,6702,42.39,2.0
5,1.0,91,3468,49.35,2.0
3,1.0,103,1315,16.09,2.0
4,1.0,122,2312,59.01,1.0
5,2.0,198,8502,78.06,2.0
1,0.0,21,1196,7.09,3.0
3,1.0,159,540,11.03,3.0
0,2.0,194,9903,68.19,2.0
1,1.0,86,1895,22.87,3.0
6,2.0,199,4206,28.65,1.0
4,2.0,153,7874,86.12,2.0
2,1.0,127,3325,14.4,1.0
6,1.0,150,4369,28.7,3.0
3,0.0,26,1023,12.86,1.0
1,2.0,279,7027,25.85,2.0
5,2.0,108,4094,64.11,2.0
4,2.0,266,11914,101.3,1.0
2,1.0,85,1627,17.75,1.0
1,0.0,30,1742,13.79,1.0
0,1.0,59,5892,81.63,3.0
2,1.0,62,2418,25.08,3.0
0,2.0,202,13221,75.72,4.0
3,1.0,66,1772,7.79,2.0
7,1.0,167,5976,76.29,4.0
6,0.0,79,760,33.26,2.0
1,0.0,5,661,11.85,3.0
4,1.0,147,2546,23.2,1.0
7,2.0,282,6444,96.96,5.0
2,2.0,216,6529,43.98,3.0
1,2.0,203,5503,43.28,2.0
7,2.0,104,6409,108.79,5.0
7,1.0,127,6459,80.76,2.0
5,0.0,56,2128,29.6,2.0
6,0.0,34,731,37.05,3.0
7,2.0,103,7512,82.06,5.0
2,2.0,271,5905,29.68,3.0
0,2.0,214,15112,83.04,3.0
0,1.0,85,3012,41.22,4.0
2,2.0,286,5927,17.37,1.0
0,1.0,77,7146,51.68,3.0
6,1.0,113,4265,28.51,1.0
3,2.0,114,3202,18.31,1.0
0,2.0,178,8823,72.65,3.0
6,0.0,25,1285,39.61,1.0
0,0.0,74,1554,57.69,3.0
6,2.0,151,3865,40.0,3.0
0,0.0,78,2144,46.87,3.0
2,1.0,102,1606,15.36,3.0
2,2.0,176,3611,39.03,1.0
4,1.0,153,4291,54.43,1.0
4,1.0,93,4975,63.83,3.0
2,0.0,10,1196,15.51,1.0
0,0.0,60,3629,43.31,3.0
5,0.0,51,3135,30.0,1.0
2,2.0,185,4117,31.15,1.0
6,1.0,60,3572,58.96,2.0
6,2.0,157,6300,41.63,3.0
2,2.0,274,6881,28.91,1.0
5,0.0,10,1745,40.82,1.0
4,2.0,128,5462,77.08,3.0
3,2.0,137,3663,18.17,1.0
3,2.0,248,2243,8.06,1.0
1,2.0,177,6210,53.19,1.0
1,0.0,32,1711,29.87,2.0
6,1.0,166,2828,47.88,3.0
7,1.0,138,4760,87.26,3.0
4,1.0,102,1599,52.0,3.0
0,2.0,116,8714,135.32,3.0
0,2.0,175,7607,94.48,2.0
3,1.0,98,2591,19.47,2.0
0,2.0,178,7161,144.34,5.0
4,1.0,98,2996,29.54,2.0
0,0.0,35,3336,69.2,3.0
5,0.0,43,1333,31.42,3.0
2,1.0,73,2756,26.1,2.0
2,2.0,132,962,43.08,3.0
2,2.0,164,2717,28.76,2.0
5,1.0,111,2252,50.48,1.0
3,1.0,77,1511,9.61,3.0
2,2.0,176,3088,34.65,1.0
3,2.0,114,2248,16.9,3.0
0,0.0,27,2267,68.66,3.0
7,2.0,131,10770,54.83,3.0
6,0.0,71,821,22.33,3.0
0,2.0,109,12160,67.53,4.0
1,2.0,170,2182,63.6,2.0
1,0.0,59,1138,21.69,2.0
5,1.0,53,2062,26.1,1.0
1,2.0,284,1857,71.88,3.0
1,2.0,151,3703,35.11,3.0
5,0.0,7,1406,17.38,3.0
4,1.0,50,1954,21.12,2.0
1,1.0,152,1372,31.06,1.0
0,0.0,14,3810,47.15,3.0
5,0.0,18,1208,26.96,2.0
1,0.0,70,443,31.84,2.0
6,1.0,86,4914,49.75,3.0
5,1.0,162,6520,74.15,2.0
2,0.0,79,430,8.77,3.0
0,0.0,78,1993,28.79,3.0
3,0.0,8,1374,6.38,1.0
7,1.0,130,7772,39.74,3.0
1,0.0,51,1517,32.47,3.0
7,0.0,19,1134,61.15,4.0
2,1.0,111,3068,14.72,3.0
2,1.0,149,1780,29.82,3.0
5,2.0,258,9791,92.42,3.0
0,1.0,123,3568,71.99,5.0
4,0.0,52,3000,26.65,1.0
3,2.0,267,4563,20.2,2.0
4,0.0,27,2083,39.43,2.0
7,0.0,48,3951,21.26,2.0
7,1.0,104,6218,77.74,5.0
3,0.0,23,1685,11.44,3.0
6,2.0,251,9352,33.48,3.0
0,2.0,225,8177,143.22,3.0
0,0.0,73,4012,63.58,5.0
4,0.0,70,960,44.56,2.0
2,2.0,107,1336,25.25,1.0
1,2.0,112,2560,39.35,3.0
3,2.0,220,6018,10.37,3.0
2,2.0,213,2518,28.58,1.0
5,2.0,138,10013,99.66,3.0
1,2.0,279,5642,59.97,3.0
6,2.0,214,2113,85.31,2.0
7,2.0,161,4544,94.31,2.0
3,2.0,152,4180,19.86,3.0
7,1.0,67,6522,45.72,4.0
7,0.0,58,3195,51.36,4.0
6,1.0,152,3427,29.74,3.0
0,0.0,42,3481,42.6,5.0
3,0.0,68,338,3.66,3.0
6,0.0,75,1329,35.15,3.0
4,0.0,42,1204,16.63,3.0
0,2.0,214,14945,114.35,2.0
6,0.0,76,1664,35.88,2.0
3,0.0,13,1168,9.6,3.0
1,0.0,66,540,11.73,1.0
4,0.0,58,2592,16.36,3.0
1,0.0,52,1186,16.03,3.0
0,2.0,164,14039,63.55,3.0
4,1.0,167,3246,69.29,1.0
7,1.0,145,2900,58.19,3.0
4,1.0,133,2917,36.4,1.0
6,2.0,288,2278,53.58,1.0
4,2.0,186,8940,37.77,3.0
4,2.0,220,3165,56.25,3.0
7,1.0,51,4090,78.67,2.0
2,2.0,114,2925,16.89,3.0
4,2.0,262,8248,82.0,3.0
4,0.0,24,2675,37.87,2.0
7,2.0,160,10078,92.96,3.0
5,2.0,182,9404,102.61,2.0
3,0.0,28,801,8.39,3.0
5,0.0,51,1236,26.25,3.0
3,2.0,100,2211,26.09,2.0
2,1.0,175,3537,9.89,2.0
1,1.0,125,3202,34.22,2.0
0,1.0,179,4489,88.26,4.0
7,1.0,161,2872,70.06,4.0
3,2.0,238,4893,17.23,1.0
5,0.0,22,3303,45.9,2.0
6,0.0,49,499,18.54,1.0
0,0.0,17,4827,55.0,3.0
3,0.0,38,964,7.52,1.0
6,0.0,18,1222,40.97,2.0
5,0.0,13,2418,28.68,3.0
4,2.0,269,6985,59.32,2.0
7,2.0,103,6538,118.86,3.0
4,1.0,70,2002,27.78,2.0
7,0.0,76,1629,34.53,4.0
7,2.0,269,6853,132.93,3.0
4,0.0,37,1202,46.97,2.0
0,2.0,224,9551,118.95,5.0
3,1.0,159,2309,18.25,3.0
6,1.0,159,4066,24.63,3.0
3,1.0,65,800,8.88,2.0
4,2.0,169,9327,53.74,2.0
4,0.0,8,1330,14.73,1.0
0,2.0,204,6304,83.28,3.0
7,1.0,178,8011,36.64,3.0
3,1.0,153,1120,10.45,1.0
5,2.0,265,4575,58.29,3.0
4,1.0,70,2740,39.48,2.0
3,0.0,17,974,8.55,2.0
3,1.0,78,1133,9.85,3.0
1,0.0,27,505,12.98,1.0
2,2.0,208,3456,14.58,1.0
0,2.0,242,12426,130.77,2.0
6,2.0,212,6997,58.11,1.0
3,2.0,126,3423,27.34,3.0
1,1.0,159,4048,32.12,1.0
0,2.0,222,8365,69.62,4.0
6,0.0,29,1413,28.59,2.0
2,2.0,244,5259,26.92,2.0
6,0.0,29,589,34.3,3.0
3,1.0,157,2876,9.38,3.0
6,2.0,102,6332,88.04,3.0
4,0.0,34,2180,46.24,3.0
0,1.0,82,3351,63.01,2.0
1,2.0,219,3185,15.61,1.0
2,0.0,23,1350,20.39,3.0
1,1.0,93,1584,20.21,1.0
5,1.0,136,2429,49.88,3.0
7,1.0,75,5525,85.39,3.0
3,1.0,85,1394,15.61,1.0
5,1.0,174,2631,20.23,1.0
2,2.0,288,3847,44.92,2.0
7,1.0,84,3218,78.13,3.0
7,0.0,14,2245,61.27,4.0
1,2.0,171,1550,51.81,1.0
1,0.0,31,582,10.14,2.0
0,1.0,101,4732,78.57,2.0
3,1.0,155,2301,15.39,2.0
3,1.0,122,2759,6.67,2.0
6,2.0,271,7703,77.95,1.0
2,2.0,118,1746,32.73,1.0
7,1.0,90,6883,69.9,3.0
5,2.0,250,7327,100.13,2.0
1,0.0,76,1163,12.16,3.0
0,2.0,122,11603,143.91,3.0
3,1.0,97,2306,5.33,3.0
7,0.0,46,2914,24.9,5.0
2,0.0,8,796,9.11,1.0
5,1.0,91,4357,22.78,3.0
5,0.0,60,1787,44.05,3.0
3,2.0,200,1281,16.64,1.0
0,1.0,57,6217,53.96,3.0
4,1.0,66,1394,35.43,2.0
7,0.0,78,2663,53.36,3.0
2,1.0,96,676,24.89,2.0
5,1.0,62,2938,32.11,2.0
0,2.0,249,11140,78.35,3.0
7,2.0,126,10463,78.93,3.0
2,2.0,117,1176,39.48,2.0
3,1.0,53,1084,8.52,1.0
4,0.0,40,1188,34.03,3.0
6,0.0,54,720,18.86,2.0
3,1.0,117,2063,14.7,2.0
3,0.0,31,1627,8.4,1.0
3,1.0,164,2678,18.34,3.0
5,0.0,26,1025,44.91,2.0
0,2.0,106,8154,101.03,5.0
4,2.0,166,10096,104.64,2.0
7,2.0,271,14051,118.94,5.0
5,0.0,42,1893,35.95,2.0
5,2.0,277,3402,41.02,2.0
6,0.0,30,2201,24.8,2.0
3,0.0,9,336,10.58,1.0
6,2.0,127,6830,32.23,1.0
1,2.0,167,6361,56.27,3.0
4,1.0,52,1633,66.3,2.0
7,2.0,232,5445,70.65,3.0
6,1.0,175,2894,28.13,3.0
0,2.0,146,13505,130.68,5.0
4,0.0,58,947,19.92,3.0
5,0.0,72,1696,19.22,3.0
3,2.0,279,2532,17.61,3.0
6,0.0,43,2079,36.31,3.0
4,2.0,103,2858,97.03,3.0
5,1.0,99,4579,62.27,2.0
7,2.0,156,14528,113.6,3.0
0,0.0,34,2454,44.29,3.0
7,0.0,69,4509,47.23,2.0
0,2.0,211,8874,107.8,4.0
5,0.0,14,2595,48.06,1.0
5,1.0,87,2082,49.01,1.0
6,2.0,205,7964,84.53,1.0
7,0.0,37,1713,23.03,3.0
3,1.0,51,2420,8.46,3.0
6,0.0,26,127,12.01,1.0
4,2.0,202,9385,95.48,3.0
3,1.0,79,2762,8.58,1.0
3,1.0,69,1969,19.0,3.0
5,0.0,38,803,42.65,3.0
5,2.0,234,4586,30.79,1.0
1,0.0,72,571,32.64,1.0
5,1.0,118,2670,29.72,2.0
0,0.0,66,2973,38.28,5.0
7,0.0,26,3322,56.58,3.0
0,0.0,44,2834,65.66,4.0
1,1.0,148,4004,25.32,1.0
0,1.0,158,7504,41.19,4.0
4,0.0,17,2012,39.73,1.0
5,2.0,223,9337,70.1,3.0
6,0.0,39,492,30.85,3.0
3,1.0,127,1292,8.73,2.0
3,0.0,47,956,6.53,3.0
7,1.0,64,6263,66.41,5.0
5,2.0,275,11156,40.9,3.0
0,0.0,11,2903,38.83,3.0
2,1.0,82,1682,21.56,2.0
6,1.0,159,4935,33.19,2.0
6,2.0,283,7591,69.85,3.0
5,1.0,76,2242,51.66,1.0
1,2.0,172,3578,60.52,2.0
5,0.0,44,3315,25.13,2.0
5,2.0,278,8798,67.54,1.0
2,2.0,140,4855,19.64,3.0
5,0.0,78,1181,34.54,2.0
4,2.0,142,7488,43.89,1.0
5,2.0,173,9886,36.59,3.0
6,0.0,5,1283,20.16,3.0
4,2.0,109,5635,41.28,3.0
6,2.0,149,6049,44.7,1.0
1,0.0,41,1569,26.78,2.0
5,0.0,23,1911,36.57,2.0
6,2.0,188,4046,29.7,3.0
6,1.0,124,2743,16.31,2.0
1,0.0,49,1934,24.38,1.0
4,1.0,114,2378,43.66,2.0
6,0.0,20,2068,21.22,3.0
5,1.0,94,4267,70.31,3.0
5,2.0,196,7526,38.69,3.0
3,0.0,52,759,11.39,2.0
1,0.0,53,1026,28.2,1.0
5,0.0,15,1647,28.43,1.0
4,2.0,236,5003,47.96,3.0
4,2.0,286,11579,72.5,1.0
6,0.0,62,973,36.57,1.0
6,0.0,26,782,15.02,2.0
1,1.0,142,2906,17.46,2.0
6,1.0,109,2771,24.88,1.0
3,0.0,65,562,6.92,3.0
3,0.0,18,1204,11.39,2.0
1,0.0,36,357,33.62,3.0
1,1.0,93,3162,20.88,3.0
0,1.0,163,5718,42.2,3.0
1,1.0,179,2565,48.31,1.0
0,2.0,224,16980,130.39,4.0
0,2.0,115,9761,114.88,3.0
1,2.0,209,6573,40.85,1.0
1,1.0,113,1943,49.66,2.0
4,0.0,51,1798,37.72,2.0
6,1.0,150,3661,54.08,2.0
3,2.0,204,1365,20.55,2.0
3,2.0,162,2428,16.55,2.0
3,0.0,22,854,5.91,3.0
6,2.0,203,1859,48.63,2.0
2,1.0,122,2359,25.68,1.0
6,2.0,293,8001,45.35,1.0
5,2.0,121,5123,71.43,3.0
6,0.0,53,1213,23.56,1.0
5,2.0,219,10462,79.2,1.0
2,2.0,108,2843,30.63,3.0
2,0.0,47,903,15.64,3.0
6,1.0,163,3188,42.23,2.0
4,2.0,120,6292,31.37,2.0
6,1.0,103,5229,52.51,1.0
1,1.0,70,1899,23.3,3.0
2,2.0,268,2965,17.23,3.0
4,1.0,62,3079,54.77,2.0
7,0.0,11,2326,44.54,3.0
6,0.0,47,1923,33.9,2.0
5,2.0,219,5246,100.02,2.0
4,2.0,131,8552,47.34,1.0
7,1.0,68,4209,62.08,5.0
2,2.0,120,5285,13.73,1.0
0,1.0,137,4999,74.81,3.0
2,1.0,152,1639,8.95,3.0
4,1.0,117,3240,60.37,3.0
3,0.0,31,614,13.93,2.0
4,2.0,238,6909,87.41,3.0
0,1.0,162,6931,78.53,3.0
6,2.0,153,8120,24.36,1.0
5,0.0,22,2170,28.38,3.0
7,0.0,57,1883,35.01,5.0
7,2.0,221,6569,109.29,3.0
5,1.0,129,4128,43.3,1.0
7,2.0,144,6484,63.2,5.0
2,0.0,71,1146,14.01,1.0
1,1.0,93,1379,47.56,2.0
6,2.0,195,8958,59.86,1.0
6,0.0,43,787,16.46,2.0
6,2.0,280,6746,87.76,1.0
4,0.0,47,2035,22.18,3.0
7,1.0,59,2553,47.71,4.0
4,0.0,58,3367,38.42,3.0
1,0.0,69,506,31.55,3.0
5,0.0,29,2855,32.68,3.0
2,0.0,29,100,20.03,1.0
1,1.0,152,3151,16.68,1.0
2,2.0,209,2568,29.59,1.0
5,0.0,52,1499,24.78,3.0
3,1.0,123,2362,17.03,1.0
1,0.0,30,1137,11.97,1.0
6,1.0,99,3569,35.04,1.0
4,0.0,13,673,44.36,2.0
2,0.0,63,1682,10.4,3.0
6,1.0,121,2691,15.98,2.0
4,2.0,115,5560,92.73,3.0
0,1.0,62,7368,50.99,5.0
7,0.0,66,3896,37.38,4.0
1,1.0,143,3901,36.51,2.0
1,2.0,107,5218,32.31,3.0
3,1.0,102,2222,16.96,2.0
2,2.0,145,5896,35.01,2.0
6,1.0,114,1697,49.84,2.0
1,1.0,53,3213,17.36,3.0
1,0.0,21,626,7.36,1.0
1,0.0,25,1100,27.09,2.0
5,2.0,156,9249,65.32,3.0
6,0.0,41,1119,16.62,3.0
1,0.0,65,977,22.14,1.0
2,0.0,55,1404,11.64,1.0
6,0.0,74,929,19.67,2.0
4,1.0,52,2498,25.37,3.0
0,2.0,199,10881,123.44,3.0
4,2.0,118,2808,98.21,3.0
6,1.0,97,2955,46.45,1.0
0,0.0,77,1632,32.29,3.0
0,2.0,195,13530,99.28,3.0
5,0.0,6,830,47.89,2.0
5,2.0,111,7420,97.74,1.0
6,1.0,127,4618,31.39,2.0
4,0.0,8,2564,24.47,3.0
5,1.0,93,3047,40.11,3.0
3,1.0,169,1174,11.01,1.0
2,1.0,54,2591,27.24,1.0
2,1.0,133,2612,8.73,2.0
3,2.0,241,833,18.44,3.0
7,1.0,107,6303,38.57,5.0
7,2.0,234,8532,54.53,3.0
3,1.0,145,3146,9.33,2.0
0,2.0,141,11959,85.35,3.0
1,2.0,260,8924,27.24,3.0
0,1.0,150,2908,86.09,5.0
4,2.0,233,4259,54.21,2.0
1,1.0,52,2384,12.95,3.0
5,0.0,53,1569,50.96,3.0
6,1.0,167,1378,44.36,2.0
4,1.0,119,3879,35.48,2.0
1,2.0,282,6876,60.87,2.0
4,1.0,90,2362,54.43,2.0
5,1.0,150,3565,29.68,3.0
7,2.0,245,11216,123.39,4.0
0,2.0,126,10436,95.16,4.0
4,2.0,135,8439,72.04,3.0
3,2.0,287,2726,25.73,1.0
0,0.0,47,2273,46.13,3.0
4,1.0,87,2156,62.48,1.0
5,0.0,60,2790,35.33,3.0
5,0.0,76,2057,34.74,3.0
2,0.0,56,1849,6.14,3.0
1,1.0,63,1358,47.28,3.0
4,2.0,146,3383,35.67,3.0
6,2.0,253,6384,81.83,3.0
2,2.0,221,6582,23.18,1.0
5,2.0,194,8019,86.8,2.0
4,1.0,105,4146,48.34,3.0
6,2.0,201,2289,34.7,3.0
4,1.0,109,5061,31.55,3.0
3,2.0,224,3653,20.8,2.0
2,0.0,30,621,16.83,3.0
6,1.0,58,4424,23.41,3.0
4,0.0,68,1050,28.21,1.0
7,2.0,193,4482,133.47,4.0
7,1.0,146,4372,82.32,3.0
5,0.0,67,854,16.82,3.0
2,0.0,19,1856,7.71,2.0
1,1.0,109,2788,22.11,1.0
7,1.0,62,3472,63.84,3.0
7,1.0,122,5805,44.79,2.0
2,2.0,151,4829,41.92,1.0
5,2.0,187,7866,43.92,1.0
2,1.0,163,3611,11.3,2.0
0,2.0,113,13198,104.33,3.0
1,2.0,245,6198,21.99,2.0
4,1.0,134,3844,36.03,1.0
5,1.0,169,3856,64.45,2.0
3,0.0,24,180,8.93,1.0
7,0.0,9,1412,51.48,2.0
5,1.0,87,3722,72.43,2.0
1,1.0,112,1969,10.26,3.0
3,0.0,45,1414,8.98,2.0
1,2.0,116,1103,27.68,2.0
3,0.0,29,1172,9.6,1.0
7,1.0,106,6196,43.7,5.0
6,0.0,26,649,26.04,3.0
4,2.0,176,4365,67.6,1.0
4,2.0,250,8149,65.12,2.0
4,1.0,117,3636,51.32,1.0
4,1.0,57,2134,29.77,3.0
7,0.0,58,3481,46.56,2.0
2,0.0,72,708,9.18,2.0
3,2.0,265,5976,18.22,1.0
7,0.0,19,895,54.32,3.0
7,1.0,108,3559,40.98,4.0
1,0.0,52,1511,16.05,2.0
7,1.0,175,3262,36.24,2.0
1,2.0,268,5224,45.4,3.0
5,1.0,107,3612,69.82,2.0
5,1.0,175,1792,72.26,2.0
4,2.0,198,10522,74.44,1.0
3,2.0,240,3563,25.64,2.0
7,2.0,258,9370,70.62,5.0
7,1.0,134,5409,70.01,4.0
0,2.0,270,13537,126.94,5.0
0,1.0,145,7371,40.46,2.0
3,2.0,188,3616,13.42,2.0
2,2.0,181,6403,41.28,3.0
0,2.0,215,9764,75.17,3.0
7,2.0,126,13682,57.52,3.0
1,0.0,64,1560,21.95,2.0
5,2.0,113,9158,38.21,2.0
6,1.0,147,4107,42.86,3.0
4,1.0,92,3610,53.93,3.0
3,0.0,61,1159,7.97,3.0
0,1.0,126,7121,69.01,2.0
1,1.0,158,1173,32.83,3.0
6,0.0,65,708,25.29,3.0
5,0.0,38,1089,16.55,3.0
3,0.0,34,477,10.25,2.0
7,0.0,21,1398,43.34,3.0
7,0.0,56,2941,46.84,3.0
4,0.0,67,2756,23.73,3.0
3,0.0,39,613,4.68,2.0
6,2.0,229,3264,70.75,2.0
0,1.0,137,5645,98.26,4.0
7,2.0,176,10142,104.92,3.0
1,2.0,277,4225,15.05,2.0
3,0.0,5,281,11.38,1.0
1,1.0,104,1444,11.23,1.0
1,0.0,17,1621,27.4,1.0
0,1.0,79,6354,58.75,5.0
6,2.0,107,5517,65.13,1.0
0,2.0,116,9607,90.8,2.0
2,0.0,10,683,11.15,2.0
1,1.0,67,2360,45.33,2.0
7,2.0,141,10357,71.58,3.0
6,2.0,161,1773,59.18,1.0
4,0.0,14,664,20.66,3.0
7,1.0,170,5621,67.07,4.0
1,1.0,86,2809,28.01,1.0
5,0.0,25,2145,21.36,1.0
7,1.0,159,3048,68.37,5.0
1,1.0,69,495,41.92,1.0
4,1.0,137,3805,31.0,3.0
7,1.0,125,2608,58.3,4.0
1,1.0,123,3477,12.62,3.0
4,1.0,131,1565,59.04,3.0
2,2.0,173,4106,42.91,1.0
4,0.0,19,656,21.19,2.0
2,1.0,142,3120,11.2,2.0
6,0.0,56,1053,13.2,3.0
5,1.0,163,4207,66.74,3.0
0,0.0,54,3104,45.09,4.0
6,1.0,123,4125,23.56,3.0
6,0.0,23,962,40.37,3.0
0,0.0,9,1498,43.48,5.0
2,0.0,28,1401,13.97,1.0
5,0.0,39,1996,17.02,2.0
4,2.0,217,9864,78.92,2.0
3,0.0,8,232,3.81,3.0
0,0.0,67,1598,45.71,5.0
1,0.0,46,955,24.05,1.0
2,1.0,119,654,21.35,2.0
0,1.0,86,2814,71.36,3.0
5,1.0,131,4196,55.76,1.0
3,0.0,74,1754,8.6,1.0
4,1.0,80,1982,37.1,2.0
1,2.0,215,6670,36.08,1.0
1,2.0,191,1886,66.12,3.0
0,1.0,169,6796,67.07,2.0
2,0.0,64,1424,10.13,2.0
7,1.0,61,4295,80.49,2.0
7,2.0,248,11858,95.02,3.0
2,0.0,57,542,19.73,2.0
0,0.0,78,3350,34.78,4.0
7,0.0,22,2170,32.51,3.0
4,0.0,15,1233,22.19,2.0
7,0.0,75,2419,40.46,3.0
0,2.0,118,5140,65.58,3.0
5,0.0,39,1112,30.14,3.0
4,2.0,108,7328,56.57,3.0
6,0.0,38,825,21.11,2.0
1,0.0,10,413,14.72,1.0
7,2.0,146,4691,89.05,3.0
4,2.0,168,10526,37.85,1.0
3,0.0,70,788,10.33,2.0
0,2.0,260,7675,92.31,3.0
5,2.0,132,3549,92.0,2.0
1,1.0,157,3196,13.59,3.0
3,2.0,120,2392,7.6,3.0
7,2.0,174,10452,134.17,4.0
2,2.0,285,6092,43.58,3.0
2,0.0,64,1066,6.15,2.0
4,0.0,12,2257,28.47,3.0
5,0.0,19,2566,30.04,3.0
0,0.0,67,2027,67.25,5.0
3,2.0,264,4534,18.43,2.0
2,1.0,173,513,14.89,2.0
2,1.0,55,2585,26.14,2.0
1,0.0,24,886,29.7,3.0
3,0.0,45,1151,11.08,2.0
1,0.0,30,1539,26.63,3.0
2,0.0,74,210,18.2,3.0
4,2.0,120,7846,34.93,3.0
4,1.0,100,4591,53.53,1.0
7,2.0,175,9772,62.49,4.0
7,0.0,55,2717,49.2,3.0
7,0.0,26,897,62.3,2.0
5,0.0,58,1491,49.67,1.0
5,2.0,229,4825,98.56,1.0
7,0.0,36,2101,48.65,2.0
3,2.0,172,3004,23.06,1.0
5,1.0,66,1283,50.44,3.0
7,2.0,268,10141,102.25,2.0
1,2.0,152,3519,21.56,3.0
3,0.0,49,434,5.6,3.0
5,1.0,112,5392,36.39,1.0
4,2.0,204,4784,32.27,2.0
3,0.0,29,1206,11.02,3.0
1,0.0,42,1046,33.92,2.0
1,1.0,77,2720,37.85,1.0
2,2.0,240,5705,39.76,1.0
2,0.0,16,1008,16.52,3.0
0,0.0,64,1932,59.52,5.0
5,1.0,165,2536,27.87,2.0
5,1.0,74,5028,27.5,1.0
2,2.0,158,5137,33.75,2.0
6,0.0,17,1446,18.76,1.0
1,0.0,72,956,24.57,1.0
3,2.0,167,1092,25.99,1.0
2,0.0,51,147,18.15,1.0
1,0.0,58,2678,11.49,1.0
0,0.0,74,1509,29.98,2.0
6,0.0,66,1490,29.09,1.0
4,2.0,192,8061,77.01,2.0
3,0.0,38,360,6.6,3.0
1,2.0,175,1923,20.38,1.0
2,2.0,154,2805,17.65,1.0
3,2.0,227,4441,14.39,1.0
0,1.0,131,5691,48.51,2.0
5,0.0,52,2474,34.86,1.0
6,1.0,83,4185,28.68,1.0
4,0.0,23,1935,35.63,2.0
1,2.0,164,3649,41.78,3.0
7,0.0,55,2796,50.39,5.0
4,1.0,111,3010,45.18,2.0
6,1.0,147,5681,48.97,2.0
5,1.0,164,1752,53.69,3.0
7,0.0,21,2700,60.88,3.0
4,1.0,143,6291,25.74,2.0
6,2.0,269,7205,64.93,1.0
4,1.0,149,2620,33.09,2.0
6,1.0,155,3592,43.92,1.0
7,0.0,14,3273,31.49,4.0
2,0.0,12,471,16.86,1.0
5,1.0,102,2923,51.86,3.0
1,1.0,126,922,46.38,2.0
1,1.0,137,921,17.08,2.0
7,1.0,147,4530,64.67,5.0
1,2.0,266,5445,42.91,3.0
6,2.0,108,1541,25.65,1.0
7,0.0,20,1875,50.78,2.0
6,1.0,90,1542,17.56,2.0
6,0.0,37,2064,26.3,2.0
5,0.0,76,1644,41.96,2.0
5,1.0,53,2233,60.8,3.0
3,1.0,127,3110,19.28,2.0
3,0.0,7,646,4.74,3.0
1,2.0,292,6001,44.22,2.0
4,1.0,139,1587,65.98,1.0
0,0.0,76,2861,53.54,3.0
2,2.0,133,3000,26.05,2.0
3,1.0,110,3352,13.35,1.0
0,0.0,75,3310,69.3,2.0
0,0.0,48,2927,54.99,4.0
2,1.0,136,1101,29.09,1.0
7,1.0,100,7458,44.92,4.0
1,1.0,109,2153,27.78,3.0
0,2.0,263,6677,110.96,4.0
2,1.0,78,3175,17.89,1.0
7,0.0,33,4571,52.63,3.0
7,1.0,152,5415,82.23,4.0
1,1.0,125,1034,39.03,2.0
1,0.0,7,740,10.5,2.0
7,1.0,161,5375,41.48,3.0
7,2.0,105,10110,59.55,3.0
